timescale,pval,comparison,shed,iteration,hierarchy
4hr,0.2546982972096432,Relative Position,FB,24,Relative Position
daily,0.14260298416950723,Relative Position,FB,24,Relative Position
hourly,0.38166366987643713,Relative Position,FB,24,Relative Position
30mins,0.6413005589762623,Relative Position,FB,25,Relative Position
4hr,0.4712576884077031,Relative Position,FB,25,Relative Position
daily,0.2507359531186603,Relative Position,FB,25,Relative Position
hourly,0.6267547406877639,Relative Position,FB,25,Relative Position
30mins,0.1614242281642322,Relative Position,FB,26,Relative Position
4hr,0.15745127979359758,Relative Position,FB,26,Relative Position
daily,0.14380961304078038,Relative Position,FB,26,Relative Position
hourly,0.17311094543579808,Relative Position,FB,26,Relative Position
30mins,0.16305067448310764,Relative Position,FB,27,Relative Position
4hr,0.17320032014125614,Relative Position,FB,27,Relative Position
daily,0.10786331487689638,Relative Position,FB,27,Relative Position
hourly,0.1677256632047821,Relative Position,FB,27,Relative Position
30mins,0.46989022872098946,Relative Position,FB,28,Relative Position
4hr,0.35559788551075655,Relative Position,FB,28,Relative Position
daily,0.1406016353574286,Relative Position,FB,28,Relative Position
hourly,0.48095748427073903,Relative Position,FB,28,Relative Position
30mins,0.709095395929358,Relative Position,FB,29,Relative Position
4hr,0.5299898639132259,Relative Position,FB,29,Relative Position
daily,0.2330796801109457,Relative Position,FB,29,Relative Position
hourly,0.7102884122310223,Relative Position,FB,29,Relative Position
30mins,0.4419775091461197,Relative Position,FB,30,Relative Position
4hr,0.43867849483099336,Relative Position,FB,30,Relative Position
daily,0.4159028017543113,Relative Position,FB,30,Relative Position
hourly,0.4428026263999066,Relative Position,FB,30,Relative Position
30mins,0.6989857895922947,Relative Position,FB,31,Relative Position
4hr,0.3493784982044697,Relative Position,FB,31,Relative Position
daily,0.15379366783810455,Relative Position,FB,31,Relative Position
hourly,0.6433818241104797,Relative Position,FB,31,Relative Position
30mins,0.17018553354224902,Relative Position,FB,32,Relative Position
4hr,0.08253985887379763,Relative Position,FB,32,Relative Position
daily,0.040145025810655516,Relative Position,FB,32,Relative Position
hourly,0.18153266460263573,Relative Position,FB,32,Relative Position
30mins,0.09962627851207755,Relative Position,FB,33,Relative Position
4hr,0.10333522162982843,Relative Position,FB,33,Relative Position
daily,0.04004677112628323,Relative Position,FB,33,Relative Position
hourly,0.1153252465922948,Relative Position,FB,33,Relative Position
30mins,0.5658480309344609,Relative Position,FB,34,Relative Position
4hr,0.4307267837982025,Relative Position,FB,34,Relative Position
daily,0.19828304410912895,Relative Position,FB,34,Relative Position
hourly,0.5714616248708445,Relative Position,FB,34,Relative Position
30mins,0.7481983508296116,Relative Position,FB,35,Relative Position
4hr,0.6687565015483732,Relative Position,FB,35,Relative Position
daily,0.5602231852791749,Relative Position,FB,35,Relative Position
hourly,0.7802350893806543,Relative Position,FB,35,Relative Position
30mins,0.28950529473730935,Relative Position,FB,36,Relative Position
4hr,0.29799200598624065,Relative Position,FB,36,Relative Position
daily,0.11365209425665784,Relative Position,FB,36,Relative Position
hourly,0.2818750513021536,Relative Position,FB,36,Relative Position
30mins,0.3482124178163698,Relative Position,FB,37,Relative Position
4hr,0.24277642508372282,Relative Position,FB,37,Relative Position
daily,0.1037723564369976,Relative Position,FB,37,Relative Position
hourly,0.2782616432788386,Relative Position,FB,37,Relative Position
30mins,0.19805643877722423,Relative Position,FB,38,Relative Position
4hr,0.3480610972205687,Relative Position,FB,38,Relative Position
daily,0.14722599764558664,Relative Position,FB,38,Relative Position
hourly,0.2591903542353608,Relative Position,FB,38,Relative Position
30mins,0.8422130870191087,Relative Position,FB,39,Relative Position
4hr,0.7310137917794536,Relative Position,FB,39,Relative Position
daily,0.472725354084997,Relative Position,FB,39,Relative Position
hourly,0.8169011863649573,Relative Position,FB,39,Relative Position
30mins,0.5482438233893432,Relative Position,FB,40,Relative Position
4hr,0.6066766118642295,Relative Position,FB,40,Relative Position
daily,0.4747121691434704,Relative Position,FB,40,Relative Position
hourly,0.499166167482676,Relative Position,FB,40,Relative Position
30mins,0.2283044785760101,Relative Position,FB,41,Relative Position
4hr,0.17860048617908394,Relative Position,FB,41,Relative Position
daily,0.056558834905316754,Relative Position,FB,41,Relative Position
hourly,0.1774204434153291,Relative Position,FB,41,Relative Position
30mins,0.41409525277575787,Relative Position,FB,42,Relative Position
4hr,0.41423042532974186,Relative Position,FB,42,Relative Position
daily,0.37694238548524994,Relative Position,FB,42,Relative Position
hourly,0.40461904854193853,Relative Position,FB,42,Relative Position
30mins,0.5031963041131411,Relative Position,FB,43,Relative Position
4hr,0.30430095233923327,Relative Position,FB,43,Relative Position
daily,0.21190534132390804,Relative Position,FB,43,Relative Position
hourly,0.3929215913592427,Relative Position,FB,43,Relative Position
30mins,0.3885081113544923,Relative Position,FB,44,Relative Position
4hr,0.37390578670131014,Relative Position,FB,44,Relative Position
daily,0.3704371401111811,Relative Position,FB,44,Relative Position
hourly,0.4073215066813772,Relative Position,FB,44,Relative Position
30mins,0.4587987712483206,Relative Position,FB,45,Relative Position
4hr,0.36745635842337465,Relative Position,FB,45,Relative Position
daily,0.15739766221171994,Relative Position,FB,45,Relative Position
hourly,0.42662442599976014,Relative Position,FB,45,Relative Position
30mins,0.6256983086121377,Relative Position,FB,46,Relative Position
4hr,0.557610320816637,Relative Position,FB,46,Relative Position
daily,0.7330888102178237,Relative Position,FB,46,Relative Position
hourly,0.6100219506469677,Relative Position,FB,46,Relative Position
30mins,0.4990272077274217,Relative Position,FB,47,Relative Position
4hr,0.30490697021429425,Relative Position,FB,47,Relative Position
daily,0.17292591045795108,Relative Position,FB,47,Relative Position
hourly,0.44899858183085467,Relative Position,FB,47,Relative Position
30mins,0.3598562702864668,Relative Position,FB,48,Relative Position
4hr,0.35182601820092885,Relative Position,FB,48,Relative Position
daily,0.15499330887369342,Relative Position,FB,48,Relative Position
hourly,0.3446434110862734,Relative Position,FB,48,Relative Position
30mins,0.49708161130383616,Relative Position,FB,49,Relative Position
4hr,0.3778714100997852,Relative Position,FB,49,Relative Position
