up,down,total,points,prop,timescale,shed,hierarchy
r_20,r_26,31,24,0.7741935483870968,daily,ZZ,Drainage Area
r_21,r_20,33,0,0,daily,ZZ,Drainage Area
r_23,r_13,34,4,0.11764705882352941,daily,ZZ,Drainage Area
r_24,r_25,37,7,0.1891891891891892,daily,ZZ,Drainage Area
r_25,r_12,54,44,0.8148148148148148,daily,ZZ,Drainage Area
r_26,r_19,32,7,0.21875,daily,ZZ,Drainage Area
r_27,r_7,12,0,0,daily,ZZ,Drainage Area
r_3,r_2,10,7,0.7,daily,ZZ,Drainage Area
r_4,r_3,31,26,0.8387096774193549,daily,ZZ,Drainage Area
r_7,r_4,25,10,0.4,daily,ZZ,Drainage Area
r_8,r_9,33,25,0.7575757575757576,daily,ZZ,Drainage Area
r_9,r_18,48,0,0,daily,ZZ,Drainage Area
