timescale,pval,comparison,shed,iteration,hierarchy
4hr,0.8164925533588083,Relative Position,W3,24,Relative Position
daily,0.5669866030897721,Relative Position,W3,24,Relative Position
hourly,0.882514564074648,Relative Position,W3,24,Relative Position
30mins,0.4216276921669344,Relative Position,W3,25,Relative Position
4hr,0.20632760435084838,Relative Position,W3,25,Relative Position
daily,0.0787507719668219,Relative Position,W3,25,Relative Position
hourly,0.371973161343742,Relative Position,W3,25,Relative Position
30mins,0.44703298275806974,Relative Position,W3,26,Relative Position
4hr,0.2672964166552614,Relative Position,W3,26,Relative Position
daily,0.1308954268537383,Relative Position,W3,26,Relative Position
hourly,0.3939357694322714,Relative Position,W3,26,Relative Position
30mins,0.4433747635506273,Relative Position,W3,27,Relative Position
4hr,0.23296651865581755,Relative Position,W3,27,Relative Position
daily,0.08916716507833311,Relative Position,W3,27,Relative Position
hourly,0.40680216477302295,Relative Position,W3,27,Relative Position
30mins,0.3527346552871521,Relative Position,W3,28,Relative Position
4hr,0.2008045156738648,Relative Position,W3,28,Relative Position
daily,0.07352233240846119,Relative Position,W3,28,Relative Position
hourly,0.3518057663025158,Relative Position,W3,28,Relative Position
30mins,0.49341011721092237,Relative Position,W3,29,Relative Position
4hr,0.26173196096740947,Relative Position,W3,29,Relative Position
daily,0.04900463571994482,Relative Position,W3,29,Relative Position
hourly,0.4509970510713651,Relative Position,W3,29,Relative Position
30mins,0.5224551974072739,Relative Position,W3,30,Relative Position
4hr,0.36762512592436947,Relative Position,W3,30,Relative Position
daily,0.10305769337746849,Relative Position,W3,30,Relative Position
hourly,0.4755511791644241,Relative Position,W3,30,Relative Position
30mins,0.7053630361716975,Relative Position,W3,31,Relative Position
4hr,0.5405702564140714,Relative Position,W3,31,Relative Position
daily,0.2052538560018828,Relative Position,W3,31,Relative Position
hourly,0.6676788275516634,Relative Position,W3,31,Relative Position
30mins,0.6974579181026543,Relative Position,W3,32,Relative Position
4hr,0.5932959876794953,Relative Position,W3,32,Relative Position
daily,0.37937505664761795,Relative Position,W3,32,Relative Position
hourly,0.658354319484818,Relative Position,W3,32,Relative Position
30mins,0.6889332087110538,Relative Position,W3,33,Relative Position
4hr,0.4872204987259034,Relative Position,W3,33,Relative Position
daily,0.2140354092087185,Relative Position,W3,33,Relative Position
