timescale,pval,comparison,shed,iteration,hierarchy
hourly,0.3795947935072825,Relative Position,ZZ,22,Relative Position
30mins,0.41057073844624986,Relative Position,ZZ,23,Relative Position
4hr,0.23425365975848841,Relative Position,ZZ,23,Relative Position
daily,0.12266959364077368,Relative Position,ZZ,23,Relative Position
hourly,0.30259669279551893,Relative Position,ZZ,23,Relative Position
30mins,0.4385423269005642,Relative Position,ZZ,24,Relative Position
4hr,0.22704859784501724,Relative Position,ZZ,24,Relative Position
daily,0.08096058996534967,Relative Position,ZZ,24,Relative Position
hourly,0.36313611963031944,Relative Position,ZZ,24,Relative Position
30mins,0.4407403294809377,Relative Position,ZZ,25,Relative Position
4hr,0.3871750713547555,Relative Position,ZZ,25,Relative Position
daily,0.20501226125969368,Relative Position,ZZ,25,Relative Position
hourly,0.4554833330125222,Relative Position,ZZ,25,Relative Position
30mins,0.25325126488450056,Relative Position,ZZ,26,Relative Position
4hr,0.07258645631964528,Relative Position,ZZ,26,Relative Position
daily,0.041697621488056516,Relative Position,ZZ,26,Relative Position
hourly,0.16538138682941395,Relative Position,ZZ,26,Relative Position
30mins,0.46032015646464897,Relative Position,ZZ,27,Relative Position
4hr,0.2554829055783382,Relative Position,ZZ,27,Relative Position
daily,0.10797828188175133,Relative Position,ZZ,27,Relative Position
hourly,0.3986929936892976,Relative Position,ZZ,27,Relative Position
30mins,0.22978944840333812,Relative Position,ZZ,28,Relative Position
4hr,0.12755001394158658,Relative Position,ZZ,28,Relative Position
daily,0.019132418601017536,Relative Position,ZZ,28,Relative Position
hourly,0.17018728095682534,Relative Position,ZZ,28,Relative Position
30mins,0.3886436440455271,Relative Position,ZZ,29,Relative Position
4hr,0.20889548510706835,Relative Position,ZZ,29,Relative Position
daily,0.08495323370236016,Relative Position,ZZ,29,Relative Position
hourly,0.3328897786614674,Relative Position,ZZ,29,Relative Position
30mins,0.43086458078554957,Relative Position,ZZ,30,Relative Position
4hr,0.33086583602257413,Relative Position,ZZ,30,Relative Position
daily,0.23361302699810582,Relative Position,ZZ,30,Relative Position
hourly,0.40098059791800034,Relative Position,ZZ,30,Relative Position
30mins,0.7548170652043045,Relative Position,ZZ,31,Relative Position
4hr,0.5193094392195104,Relative Position,ZZ,31,Relative Position
daily,0.4766658711301766,Relative Position,ZZ,31,Relative Position
hourly,0.7312420722362662,Relative Position,ZZ,31,Relative Position
30mins,0.5052807185473499,Relative Position,ZZ,32,Relative Position
4hr,0.4044853259222004,Relative Position,ZZ,32,Relative Position
