up,down,total,points,prop,timescale,shed,hierarchy
r_14,r_17,19,19,1,daily,ZZ,Duration of Flow
r_15,r_16,44,34,0.7727272727272727,daily,ZZ,Duration of Flow
r_16,r_11,54,29,0.5370370370370371,daily,ZZ,Duration of Flow
r_17,r_26,42,25,0.5952380952380952,daily,ZZ,Duration of Flow
r_18,r_12,58,31,0.5344827586206896,daily,ZZ,Duration of Flow
r_19,r_7,24,0,0,daily,ZZ,Duration of Flow
r_20,r_8,23,11,0.4782608695652174,daily,ZZ,Duration of Flow
r_21,r_4,29,9,0.3103448275862069,daily,ZZ,Duration of Flow
r_23,r_3,15,6,0.4,daily,ZZ,Duration of Flow
r_24,r_10,43,17,0.3953488372093023,daily,ZZ,Duration of Flow
r_25,r_20,23,8,0.34782608695652173,daily,ZZ,Duration of Flow
r_26,r_1,33,17,0.5151515151515151,daily,ZZ,Duration of Flow
r_27,r_2,3,2,0.6666666666666666,daily,ZZ,Duration of Flow
r_3,r_27,11,7,0.6363636363636364,daily,ZZ,Duration of Flow
r_4,r_19,25,14,0.56,daily,ZZ,Duration of Flow
r_7,r_14,16,0,0,daily,ZZ,Duration of Flow
r_8,r_13,37,22,0.5945945945945946,daily,ZZ,Duration of Flow
r_9,r_21,34,12,0.35294117647058826,daily,ZZ,Duration of Flow
