up,down,total,points,prop,timescale,shed,hierarchy
r_23,r_25,71,0,0,4hr,FB,Relative Position
r_24,r_25,96,22,0.22916666666666666,4hr,FB,Relative Position
r_25,r_26,54,4,0.07407407407407407,4hr,FB,Relative Position
r_26,r_27,24,23,0.9583333333333334,4hr,FB,Relative Position
r_27,r_28,48,0,0,4hr,FB,Relative Position
r_28,r_29,60,28,0.4666666666666667,4hr,FB,Relative Position
r_3,r_4,7,5,0.7142857142857143,4hr,FB,Relative Position
r_4,r_5,17,0,0,4hr,FB,Relative Position
r_1,r_3,7,0,0,daily,FB,Relative Position
r_13,r_14,15,14,0.9333333333333333,daily,FB,Relative Position
r_14,r_15,5,4,0.8,daily,FB,Relative Position
r_2,r_3,5,2,0.4,daily,FB,Relative Position
r_23,r_25,41,0,0,daily,FB,Relative Position
r_24,r_25,50,8,0.16,daily,FB,Relative Position
r_25,r_26,36,2,0.05555555555555555,daily,FB,Relative Position
r_26,r_27,13,13,1,daily,FB,Relative Position
r_27,r_28,31,0,0,daily,FB,Relative Position
r_28,r_29,39,19,0.48717948717948717,daily,FB,Relative Position
r_3,r_4,7,5,0.7142857142857143,daily,FB,Relative Position
r_4,r_5,2,0,0,daily,FB,Relative Position
r_10,r_7,62,18,0.2903225806451613,30mins,ZZ,Relative Position
r_11,r_10,178,64,0.3595505617977528,30mins,ZZ,Relative Position
r_12,r_8,125,26,0.208,30mins,ZZ,Relative Position
r_14,r_11,130,118,0.9076923076923077,30mins,ZZ,Relative Position
r_15,r_11,157,144,0.9171974522292994,30mins,ZZ,Relative Position
r_16,r_15,128,6,0.046875,30mins,ZZ,Relative Position
r_17,r_14,49,4,0.08163265306122448,30mins,ZZ,Relative Position
r_18,r_17,114,86,0.7543859649122807,30mins,ZZ,Relative Position
r_19,r_16,118,52,0.4406779661016949,30mins,ZZ,Relative Position
r_2,r_1,61,3,0.04918032786885246,30mins,ZZ,Relative Position
r_20,r_19,100,69,0.69,30mins,ZZ,Relative Position
r_21,r_18,87,32,0.367816091954023,30mins,ZZ,Relative Position
r_23,r_24,98,33,0.336734693877551,30mins,ZZ,Relative Position
r_24,r_25,129,41,0.3178294573643411,30mins,ZZ,Relative Position
r_25,r_27,81,73,0.9012345679012346,30mins,ZZ,Relative Position
r_26,r_27,53,45,0.8490566037735849,30mins,ZZ,Relative Position
r_3,r_2,21,19,0.9047619047619048,30mins,ZZ,Relative Position
r_4,r_3,89,78,0.8764044943820225,30mins,ZZ,Relative Position
r_8,r_4,113,87,0.7699115044247787,30mins,ZZ,Relative Position
r_10,r_7,57,16,0.2807017543859649,hourly,ZZ,Relative Position
r_11,r_10,143,57,0.3986013986013986,hourly,ZZ,Relative Position
r_12,r_8,103,19,0.18446601941747573,hourly,ZZ,Relative Position
r_14,r_11,102,90,0.8823529411764706,hourly,ZZ,Relative Position
r_15,r_11,128,113,0.8828125,hourly,ZZ,Relative Position
r_16,r_15,107,4,0.037383177570093455,hourly,ZZ,Relative Position
r_17,r_14,44,4,0.09090909090909091,hourly,ZZ,Relative Position
r_18,r_17,106,80,0.7547169811320755,hourly,ZZ,Relative Position
r_19,r_16,88,29,0.32954545454545453,hourly,ZZ,Relative Position
r_2,r_1,35,1,0.02857142857142857,hourly,ZZ,Relative Position
r_20,r_19,84,61,0.7261904761904762,hourly,ZZ,Relative Position
r_21,r_18,74,24,0.32432432432432434,hourly,ZZ,Relative Position
r_23,r_24,73,18,0.2465753424657534,hourly,ZZ,Relative Position
r_24,r_25,104,33,0.3173076923076923,hourly,ZZ,Relative Position
r_25,r_27,64,58,0.90625,hourly,ZZ,Relative Position
r_26,r_27,40,35,0.875,hourly,ZZ,Relative Position
r_3,r_2,17,15,0.8823529411764706,hourly,ZZ,Relative Position
r_4,r_3,65,56,0.8615384615384616,hourly,ZZ,Relative Position
r_8,r_4,85,66,0.7764705882352941,hourly,ZZ,Relative Position
