up,down,total,points,prop,timescale,shed,hierarchy
r_31,r_2,9,3,0.3333333333333333,4hr,FB,Flow Permanence
r_4,r_1,2,0,0,4hr,FB,Flow Permanence
r_5,r_31,18,12,0.6666666666666666,4hr,FB,Flow Permanence
r_7,r_19,76,39,0.5131578947368421,4hr,FB,Flow Permanence
r_8,r_3,28,18,0.6428571428571429,4hr,FB,Flow Permanence
r_9,r_29,95,35,0.3684210526315789,4hr,FB,Flow Permanence
r_1,r_30,18,13,0.7222222222222222,daily,FB,Flow Permanence
r_11,r_4,19,2,0.10526315789473684,daily,FB,Flow Permanence
r_13,r_23,41,38,0.926829268292683,daily,FB,Flow Permanence
r_14,r_5,39,10,0.2564102564102564,daily,FB,Flow Permanence
r_15,r_8,43,35,0.813953488372093,daily,FB,Flow Permanence
r_16,r_27,47,20,0.425531914893617,daily,FB,Flow Permanence
r_17,r_7,38,26,0.6842105263157895,daily,FB,Flow Permanence
r_18,r_11,19,3,0.15789473684210525,daily,FB,Flow Permanence
r_19,r_14,20,0,0,daily,FB,Flow Permanence
r_2,r_16,41,2,0.04878048780487805,daily,FB,Flow Permanence
r_20,r_9,25,1,0.04,daily,FB,Flow Permanence
r_21,r_12,19,19,1,daily,FB,Flow Permanence
r_22,r_17,55,39,0.7090909090909091,daily,FB,Flow Permanence
r_23,r_15,26,0,0,daily,FB,Flow Permanence
r_24,r_13,32,10,0.3125,daily,FB,Flow Permanence
r_25,r_20,6,6,1,daily,FB,Flow Permanence
r_26,r_28,15,0,0,daily,FB,Flow Permanence
r_27,r_18,45,30,0.6666666666666666,daily,FB,Flow Permanence
r_28,r_25,22,22,1,daily,FB,Flow Permanence
r_29,r_24,29,23,0.7931034482758621,daily,FB,Flow Permanence
r_3,r_22,43,4,0.09302325581395349,daily,FB,Flow Permanence
r_30,r_21,10,7,0.7,daily,FB,Flow Permanence
r_31,r_2,22,11,0.5,daily,FB,Flow Permanence
r_4,r_1,21,2,0.09523809523809523,daily,FB,Flow Permanence
r_5,r_31,24,3,0.125,daily,FB,Flow Permanence
r_7,r_19,19,19,1,daily,FB,Flow Permanence
r_8,r_3,41,9,0.21951219512195122,daily,FB,Flow Permanence
r_9,r_29,29,0,0,daily,FB,Flow Permanence
r_1,r_23,99,33,0.3333333333333333,30mins,ZZ,Flow Permanence
r_10,r_18,141,72,0.5106382978723404,30mins,ZZ,Flow Permanence
r_11,r_12,193,72,0.37305699481865284,30mins,ZZ,Flow Permanence
r_12,r_19,100,79,0.79,30mins,ZZ,Flow Permanence
r_13,r_14,68,32,0.47058823529411764,30mins,ZZ,Flow Permanence
r_14,r_7,36,29,0.8055555555555556,30mins,ZZ,Flow Permanence
r_15,r_6,54,27,0.5,30mins,ZZ,Flow Permanence
r_16,r_21,110,62,0.5636363636363636,30mins,ZZ,Flow Permanence
r_17,r_9,144,83,0.5763888888888888,30mins,ZZ,Flow Permanence
r_18,r_11,168,111,0.6607142857142857,30mins,ZZ,Flow Permanence
r_19,r_4,105,35,0.3333333333333333,30mins,ZZ,Flow Permanence
r_2,r_28,5,2,0.4,30mins,ZZ,Flow Permanence
r_20,r_8,92,37,0.40217391304347827,30mins,ZZ,Flow Permanence
r_21,r_10,85,35,0.4117647058823529,30mins,ZZ,Flow Permanence
